编号,作战名称,所需时间,人力,弹药,口粮,零件,总计,总计/小时,人力/小时,弹药/小时,口粮/小时,零件/小时
0-1,应援训练,0:50:00,,145.00 ,145.00 ,,290.00 ,348.00 ,,174.00 ,174.00 ,
0-2,梯队集训,3:00:00,550.00 ,,,350.00 ,1600.00 ,533.40 ,183.30 ,,,116.70 
0-3,特种支援,12:00:00,900.00 ,900.00 ,900.00 ,250.00 ,3450.00 ,287.50 ,75.00 ,75.00 ,75.00 ,20.80 
0-4,联合演习,24:00:00,,1200.00 ,800.00 ,750.00 ,4250.00 ,93.80 ,,50.00 ,33.30 ,31.30 
1-1,热身运动,0:15:00,10.00 ,30.00 ,15.00 ,,55.00 ,220.00 ,40.00 ,120.00 ,60.00 ,
1-2,巡逻戒严,0:30:00,,40.00 ,60.00 ,,100.00 ,200.00 ,,80.00 ,120.00 ,
1-3,伤员搬运,1:00:00,30.00 ,,30.00 ,10.00 ,90.00 ,90.00 ,30.00 ,,30.00 ,10.00 
1-4,全境搜查,2:00:00,160.00 ,160.00 ,,,320.00 ,160.00 ,80.00 ,80.00 ,,
2-1,前线侦察,0:40:00,100.00 ,,,30.00 ,190.00 ,195.00 ,150.00 ,,,45.00 
2-2,后方运输,1:30:00,60.00 ,200.00 ,80.00 ,,340.00 ,226.60 ,40.00 ,133.30 ,53.30 ,
2-3,工厂快递,4:00:00,10.00 ,10.00 ,10.00 ,230.00 ,720.00 ,180.00 ,2.50 ,2.50 ,2.50 ,57.50 
2-4,采集数据,6:00:00,,250.00 ,600.00 ,60.00 ,1030.00 ,171.70 ,,41.70 ,100.00 ,10.00 
3-1,强化工事,0:20:00,50.00 ,,75.00 ,,125.00 ,375.00 ,150.00 ,,225.00 ,
3-2,截获密报,0:45:00,,120.00 ,70.00 ,30.00 ,280.00 ,373.30 ,,160.00 ,93.30 ,40.00 
3-3,交通管制,1:30:00,,300.00 ,,,300.00 ,200.00 ,,200.00 ,,
3-4,封锁密道,5:00:00,,,300.00 ,300.00 ,1200.00 ,240.00 ,,,60.00 ,60.00 
4-1,视野支援,1:00:00,,185.00 ,185.00 ,,370.00 ,370.00 ,,185.00 ,185.00 ,
4-2,切断补给,2:00:00,,,,210.00 ,630.00 ,315 ,,,,105.00 
4-3,窃取地图,6:00:00,800.00 ,550.00 ,,,1350.00 , 225,133.30 ,91.70 ,,
4-4,坐标定位,8:00:00,400.00 ,400.00 ,400.00 ,150.00 ,1650.00 ,206.25 ,50.00 ,50.00 ,50.00 ,18.75 
5-1,例行检阅,0:30:00,,,100.00 ,45.00 ,235.00 ,470.00 ,,,200.00 ,90.00 
5-2,现场救援,2:30:00,,600.00 ,300.00 ,,900.00 ,360.00 ,,240.00 ,120.00 ,
5-3,路线追踪,4:00:00,800.00 ,400.00 ,400.00 ,,1600.00 ,400.00 ,200.00 ,100.00 ,100.00 ,
5-4,维稳工作,7:00:00,100.00 ,,,700.00 ,2200.00 ,314.30 ,14.30 ,,,100.00 
6-1,协助救援,2:00:00,300.00 ,300.00 ,,100.00 ,900.00 ,450.00 ,150.00 ,150.00 ,,50.00 
6-2,远程侦查,3:00:00,,200.00 ,550.00 ,100.00 ,1050.00 ,350.00 ,,66.70 ,183.30 ,33.30 
6-3,提取科技,5:00:00,,,200.00 ,500.00 ,1700.00 ,340.00 ,,,40.00 ,100.00 
6-4,战场搜索,12:00:00,800.00 ,800.00 ,800.00 ,,2400.00 ,200.00 ,66.70 ,66.70 ,66.70 ,
7-1,监视据点,2:30:00,650.00 ,,650.00 ,,1300.00 ,520.00 ,260.00 ,,260.00 ,
7-2,接应队友,4:00:00,,650.00 ,,300.00 ,1550.00 ,387.5 ,,162.50 ,,75.00 
7-3,清理道理,5:30:00,900.00 ,600.00 ,600.00 ,,2100.00 ,318.80 ,163.60 ,109.09 ,109.09 ,
7-4,追踪傀儡,8:00:00,250.00 ,250.00 ,250.00 ,600.00 , 2550,318.80 ,31.25 ,31.25 ,31.25 ,75.00 
8-1,筹集资料,1:00:00,150.00 ,150.00 ,150.00 ,,450.00 ,450.00 ,150.00 ,150.00 ,150.00 ,
8-2,解析碎片,3:00:00,,,,450.00 ,1350.00 , 450,,,,150.00 
8-3,勘探现场,6:00:00,400.00 ,800.00 ,800.00 ,,2000.00 ,333.30 ,66.60 ,133.30 ,133.30 ,
8-4,修订路线,9:00:00,1500.00 ,400.00 ,400.00 ,100.00 ,2600.00 ,288.90 ,166.60 ,44.40 ,44.40 ,11.10 
9-1,清理哨站,0:30:00,,,100.00 ,50.00 ,250.00 ,500.00 ,,,200.00 ,100.00 
9-2,探测信号,1:30:00,180.00 ,,180.00 ,100.00 ,660.00 ,440.00 ,120.00 ,,120.00 ,66.60 
9-3,快速营救,4:30:00,750.00 ,750.00 ,,,1500.00 ,333.30 ,166.60 ,166.60 ,,
9-4,紧急压制,7:00:00,500.00 ,900.00 ,900.00 ,,2300.00 ,328.60 ,71.40 ,128.50 ,128.50 ,
10-1,协助验证,0:40:00,140.00 ,200.00 ,,,340.00 ,510.00 ,210.00 ,300.00 ,,
10-2,前线支援,1:40:00,,240.00 ,180.00 ,,420.00 ,252.00 ,,144.00 ,108.00 ,
10-3,腹地侦察,5:20:00,,480.00 ,480.00 ,300.00 ,1860.00 ,348.80 ,,90.00 ,90.00 ,56.25 
10-4,夺取通讯,10:00:00,660.00 ,660.00 ,660.00 ,330.00 ,2310.00 ,231.00 ,66.00 ,66.00 ,66.00 ,33.00 
11-1,人员输送,4:00:00,350.00 ,1050.00 ,,,1400.00 ,350.00 ,87.50 ,262.50 ,,
11-2,破解监视,4:00:00,360.00 ,540.00 ,540.00 ,,1440.00 ,360.00 ,90.00 ,135.00 ,135.00 ,
11-3,外观伪装,8:00:00,,750.00 ,1500.00 ,250.00 ,3000.00 ,375.00 ,,93.80 ,187.50 ,31.30 
11-4,突击支援,10:00:00,,1650.00 ,,900.00 ,4350.00 ,435.00 ,,165.00 ,,90.00 
12-1,维护装备,1:00:00,,220.00 ,220.00 ,,440.00 ,440.00 ,,220.00 ,220.00 ,
12-2,传输谍报,1:30:00,360.00 ,,,120.00 ,720.00 ,480.00 ,240.00 ,,,80.00 
12-3,干预敌兵,9:00:00,800.00 ,1200.00 ,1200.00 ,,3200.00 ,355.60 ,88.90 ,133.30 ,133.30 ,
12-4,建立基站,12:00:00,1800.00 ,,1800.00 ,,3600.00 ,300.00 ,150.00 ,,150.00 ,
13-1,紧急救护,3:00:00,,,1200.00 ,,1200.00 ,400.00 ,,,400.00 ,
13-2,破袭交通,6:00:00,800.00 ,800.00 ,800.00 ,300.00 ,3300.00 ,550.00 ,133.30 ,133.3 ,133.3 ,50.00 
13-3,回收军备,24:00:00,,4000.00 ,,1200.00 ,7600.00 ,316.70 ,,166.70 ,,50.00 
13-4,解构残骸,6:00:00,,,,1000.00 ,3000.00 ,500.00 ,,,,166.70 
